ANNEE,L_TYP_REG_DECHET,TONNAGE_FR,TONNAGE_HDF,SHARE_FR,SHARE_HDF
2009,Autres déchets,137461.34,11065.83,0.011637219784324918,0.011141704225858803
2011,Autres déchets,126498.07,655.3800000000001,0.0099750075723488,0.0005600124166932612
2013,Autres déchets,100941.4,275.87,0.007746329792230485,0.00023303951983468562
2015,Autres déchets,68103.77,27862.749999999996,0.005034846479871581,0.02336408512690192
2017,Autres déchets,131666.98,11692.050000000001,0.009038227156227652,0.008280027754828945
2019,Autres déchets,51127.29,2339.94,0.0034458086887272665,0.001797382303639993
2021,Autres déchets,111182.01000000001,32002.02,0.00676293568268208,0.020701352214948857
2009,DEEE,211103.7,12331.83,0.017871644159617478,0.012416384710733164
2011,DEEE,266018.37,21924.96,0.0209768833242585,0.018734550696547166
2013,DEEE,282756.65,21521.25,0.021698988342209322,0.018179946229173988
2015,DEEE,328761.9,25232.16,0.02430505234777594,0.02115822501998581
2017,DEEE,372229.7,29836.36,0.02555155881067882,0.02112939038945849
2019,DEEE,399891.2,30252.989999999998,0.026951332087141195,0.023238283399658825
2021,DEEE,434165.36,40660.29,0.02640924017589276,0.026302182938825826
2009,Déblais et gravats,3378674.2399999998,325804.35,0.28603223794062355,0.3280382676399493
2011,Déblais et gravats,3654754.03,386817.84,0.28819569440326076,0.3305300640826196
2013,Déblais et gravats,3564880.59,392779.51,0.2735720003889503,0.33179812379491463
2015,Déblais et gravats,3603699.15,372371.21,0.26641802619581423,0.31224888603054163
2017,Déblais et gravats,3663018.98,398924.45,0.2514464721436864,0.2825086719676936
2019,Déblais et gravats,3733038.64,397037.8,0.2515943438634557,0.3049773565117716
2021,Déblais et gravats,4308160.73,433885.39,0.2620551106032952,0.28067022892025095
2009,Déchets dangereux,100286.53,11349.35,0.008490069942700212,0.01142716821564678
2011,Déchets dangereux,110939.21,17676.510000000002,0.008748113388768648,0.015104313655898254
2013,Déchets dangereux,103450.53,15591.95,0.007938882584955564,0.013171205789996834
2015,Déchets dangereux,104421.72,13922.65,0.007719797734606114,0.011674726284808968
2017,Déchets dangereux,140431.46,17188.43,0.009639861378765558,0.01217243147796447
2019,Déchets dangereux,124615.43,13647.56,0.008398664029395738,0.010483124709122894
2021,Déchets dangereux,154795.06,16268.79,0.00941581317676226,0.010523896675929765
2009,Déchets verts,3527883.42,243104.55,0.2986640078731653,0.24477142627895987
2011,Déchets verts,3532823.46,278652.97000000003,0.2785808571251046,0.23810479896923128
2013,Déchets verts,3812758.45,276332.7,0.2925943604092427,0.23343038287099804
2015,Déchets verts,4018153.42,274322.22,0.29705823337343806,0.23003069331924225
2017,Déchets verts,4302586.39,384092.26999999996,0.29534932108349027,0.27200487989832856
2019,Déchets verts,4156999.48,280597.85,0.2801678893447849,0.2155361291440931
2021,Déchets verts,4460067.48,357818.48,0.27129523479258866,0.231464338297946
2009,Encombrants,2807424.07,272493.28,0.2376712676480091,0.27436166372464843
2011,Encombrants,3101242.22,314864.37,0.24454851072579842,0.26904689916430335
2013,Encombrants,3237053.8,324011.2,0.24841429076665175,0.2737065083882274
2015,Encombrants,3218585.99,309842.72,0.23794697917480173,0.25981612317631375
2017,Encombrants,3362578.07,353583.7,0.23082282609663837,0.2503994466030432
2019,Encombrants,3458755.7600000002,344569.56,0.23310859327755257,0.2646748333363329
2021,Encombrants,3658977.14,389447.14,0.22256682589408144,0.2519241727317369
2009,Matériaux recyclables,1649340.52,117040.88,0.13963008166829122,0.11784338520420368
2011,Matériaux recyclables,1889038.22,149703.45,0.14896014262475543,0.12791936101470716
2013,Matériaux recyclables,1923225.97,153278.15,0.1475900138952142,0.12948079340685437
2015,Matériaux recyclables,2045199.96,158718.75,0.15119967395695563,0.13309233245948318
2017,Matériaux recyclables,2156229.68,177083.18000000002,0.14801352357926081,0.12540603617957244
2019,Matériaux recyclables,2245502.17,176257.4,0.15133935101864252,0.13538891238476017
2021,Matériaux recyclables,2413819.67,193772.09,0.1468268758390218,0.1253465963872521
2009,Mobilier,41.0,0.0,3.47098326814886e-06,0.0
2011,Mobilier,187.57,0.0,1.4790835704809283e-05,0.0
2013,Mobilier,5800.48,0.0,0.0004451338205457531,0.0
2015,Mobilier,139558.02,10273.7,0.010317390736736713,0.008614928582722534
2017,Mobilier,439047.06,39678.16,0.03013820975125207,0.028099115729110263
2019,Mobilier,667600.09,57156.83,0.04499401769030013,0.04390397821062056
2021,Mobilier,898736.05,82036.12,0.0546679638356758,0.0530672318331096
