ANNEE,TOTAL_BAU,TOTAL_META_2030,TOTAL_SCEN_A,TOTAL_SCEN_B
2022,16308832.631607147,16308832.631607147,16308832.631607147,16308832.631607147
2023,16661190.565714289,15711977.70981901,15711977.70981901,15711977.70981901
2024,17013548.499821432,15074974.074814728,15074974.074814728,15074974.074814728
2025,17365906.43392858,14397821.726594305,14397821.726594305,14397821.726594305
2026,17718264.36803572,13680520.665157732,13680520.665157732,13680520.665157732
2027,18070622.302142862,12923070.890505016,12923070.890505016,12923070.890505016
2028,18422980.236250006,12125472.402636154,12125472.402636154,12125472.402636154
2029,18775338.170357153,11287725.20155115,11287725.20155115,11287725.20155115
2030,19127696.104464296,10409829.28725,10409829.28725,10409829.28725
2031,19480054.038571436,,10601592.36849256,10762187.221357139
2032,19832411.972678583,,10793355.449735126,11114545.155464286
2033,20184769.906785727,,10985118.530977689,11466903.08957143
2034,20537127.84089287,,11176881.612220252,11819261.023678573
2035,20889485.77500001,,11368644.693462813,12171618.957785713
2036,21241843.709107157,,11560407.774705378,12523976.89189286
2037,21594201.6432143,,11752170.855947942,12876334.826000003
2038,21946559.577321444,,11943933.937190505,13228692.760107147
2039,22298917.511428583,,12135697.018433066,13581050.694214286
2040,22651275.44553573,,12327460.099675631,13933408.628321433
2041,23003633.379642874,,12519223.180918194,14285766.562428577
2042,23355991.313750017,,12710986.262160758,14638124.49653572
2043,23708349.247857157,,12902749.343403319,14990482.43064286
2044,24060707.181964304,,13094512.424645884,15342840.364750007
2045,24413065.116071448,,13286275.505888447,15695198.29885715
2046,24765423.05017859,,13478038.58713101,16047556.232964294
2047,25117780.984285735,,13669801.668373574,16399914.167071437
2048,25470138.91839288,,13861564.749616139,16752272.101178585
2049,25822496.85250002,,14053327.8308587,17104630.035285726
2050,26174854.786607165,,14245090.912101263,17456987.969392866
